outlet_id,outlet_name,url,outlet_type,community_id,city,state
634,WTKA AM 1050,http://www.wtka.com/,Radio Station,3,"Ann Arbor, MI",MI
656,WDEO AM 990,https://avemariaradio.net/wdeo-990-am/,Radio Station,3,"Ann Arbor, MI",MI
21,Local in Ann Arbor,https://localinannarbor.com/,Online Only,3,"Ann Arbor, MI",MI
28,Michigan Daily,https://www.michigandaily.com/,Newspaper/Magazine,3,"Ann Arbor, MI",MI
5,Antioch Herald,http://antiochherald.com/,Online Only,4,"Antioch, CA",CA
74,East County Today,http://eastcountytoday.net/,Newspaper/Magazine,4,"Antioch, CA",CA
350,East County Times,http://www.eastbaytimes.com/east-county-times,Newspaper/Magazine,4,"Antioch, CA",CA
568,Antioch Press,http://www.thepress.net/,Newspaper/Magazine,4,"Antioch, CA",CA
47,K246CL 97.1 FM,http://amp.cbslocal.com/,Radio Station,5,"Apple Valley, CA",CA
118,KWRN AM 1550,http://kwrn1550am.com/,Radio Station,5,"Apple Valley, CA",CA
305,Apple Valley Review,http://www.applevalley-review.com/,Online Only,5,"Apple Valley, CA",CA
352,K210DL 89.9 FM,http://www.effectradio.com/,Radio Station,5,"Apple Valley, CA",CA
450,Lucerne Valley Leader,http://www.lucernevalleyleader.com/,Online Only,5,"Apple Valley, CA",CA
548,KIXW AM 960,http://www.talk960.com/,Radio Station,5,"Apple Valley, CA",CA
642,KZXY FM 102.3,http://www.y102fm.com/,Radio Station,5,"Apple Valley, CA",CA
309,Bay City Democrat and the Bay County Legal News,http://www.bclegalnews.com/,Newspaper/Magazine,6,"Bay City, MI",MI
346,WUCX FM 90.1,http://www.deltabroadcasting.org/home/,Radio Station,6,"Bay City, MI",MI
414,WLKB FM 89.1,http://www.klove.com/,Radio Station,6,"Bay City, MI",MI
468,The Bay City Times (online at MLive),http://www.mlive.com/bay-city/,Newspaper/Magazine,6,"Bay City, MI",MI
475,WHNN FM 96.1,http://www.my961.com/,Radio Station,6,"Bay City, MI",MI
477,My Bay City,http://www.mybaycity.com,Online Only,6,"Bay City, MI",MI
556,WBSF TV 46,http://www.thecw46.com/,TV Station,6,"Bay City, MI",MI
590,WCHW FM 91.3,http://www.wchwonline.freewebspace.com/,Radio Station,6,"Bay City, MI",MI
608,WIOG FM 102.5,http://www.wiog.com/,Radio Station,6,"Bay City, MI",MI
618,WNEM TV 5,http://www.wnem.com/,TV Station,6,"Bay City, MI",MI
46,WZDA FM 103.9,http://altdayton.iheart.com/,Radio Station,7,"Beavercreek, OH",OH
6,Beavercreek News Current,http://beavercreeknewscurrent.com/,Newspaper/Magazine,7,"Beavercreek, OH",OH
51,Beavercreek Record,http://beavercreekrecord.com/,Newspaper/Magazine,7,"Beavercreek, OH",OH
26,The Bearvercreek Ohio Buzz,https://www.facebook.com/The-Beavercreek-Ohio-Buzz-219750630759/,Online Only,7,"Beavercreek, OH",OH
160,Belmont Patch,http://patch.com/california/belmont-ca,Online Only,8,"Belmont, CA",CA
7,BevCam,http://bevcam.org/,TV Station,10,"Beverly, MA",MA
52,Beverly Citizen,http://beverly.wickedlocal.com/,Newspaper/Magazine,10,"Beverly, MA",MA
171,Beverly Patch,http://patch.com/massachusetts/beverly,Online Only,10,"Beverly, MA",MA
525,The Salem News,http://www.salemnews.com/,Newspaper/Magazine,10,"Beverly, MA",MA
66,Biddeford Courier,http://courier.mainelymediallc.com/,Newspaper/Magazine,11,"Biddeford, ME",ME
190,South Portland Sentry,http://sentry.mainelymediallc.com/,Newspaper/Magazine,11,"Biddeford, ME",ME
224,WCYY FM 94.3,http://wcyy.com/,Radio Station,11,"Biddeford, ME",ME
230,WGIN 1400 AM,http://wgan.com/,Radio Station,11,"Biddeford, ME",ME
393,York County Journal Tribune,http://www.journaltribune.com/,Newspaper/Magazine,11,"Biddeford, ME",ME
473,WMEA TV 45,http://www.mpbn.net/,TV Station,11,"Biddeford, ME",ME
42,K231AA 94.1 FM,http://957theparty.iheart.com/,Radio Station,12,"Boulder, CO",CO
55,Bizwest,http://bizwest.com/,Online Only,12,"Boulder, CO",CO
64,KJAC FM 105.5,http://coloradosound.org/,Radio Station,12,"Boulder, CO",CO
68,CU Independent,http://cuindependent.com/,Newspaper/Magazine,12,"Boulder, CO",CO
85,Boulder Magazine,http://getboulder.com/,Newspaper/Magazine,12,"Boulder, CO",CO
99,KBCO FM 97.3,http://kbco.iheart.com/,Radio Station,12,"Boulder, CO",CO
147,New West,http://newwest.net/,Online Only,12,"Boulder, CO",CO
149,KTFD-DTV 14,http://noticias.entravision.com/colorado/,TV Station,NA,"Boulder, Co",Co
202,Street Fight,http://streetfightmag.com/,Online Only,12,"Boulder, CO",CO
280,Boulder 50 Plus Marketplace News,http://www.50plusmarketplacenews.com/,Online Only,12,"Boulder, CO",CO
284,KWOF 101.7 FM,http://www.925thewolf.com/,Radio Station,12,"Boulder, CO",CO
289,KXPK 96.5 FM,http://www.965tricolor.com/,Radio Station,12,"Boulder, CO",CO
312,KBFR FB 95.3,http://www.boulderfreeradio.org/,Radio Station,12,"Boulder, CO",CO
313,Boulder Weekly,http://www.boulderweekly.com/,Newspaper/Magazine,12,"Boulder, CO",CO
329,Colorado Daily,http://www.coloradodaily.com/,Newspaper/Magazine,12,"Boulder, CO",CO
334,KCFC AM 1490,http://www.cpr.org/,Radio Station,12,"Boulder, CO",CO
335,KVOQ 102.3 FM,http://www.cpr.org/openair,Radio Station,12,"Boulder, CO",CO
336,K48MN-D TV 12,http://www.cpt12.org/,TV Station,12,"Boulder, CO",CO
341,Boulder Daily Camera,http://www.dailycamera.com/,Newspaper/Magazine,12,"Boulder, CO",CO
409,KGNU AM 1390,http://www.kgnu.org/,Radio Station,12,"Boulder, CO",CO
420,KVKL 105.1 FM,http://www.kool105.com/,Radio Station,12,"Boulder, CO",CO
437,KYGO 98.5 FM,http://www.kygo.com/,Radio Station,12,"Boulder, CO",CO
466,KIMN 100.3 FM,http://www.mix100.com/,Radio Station,12,"Boulder, CO",CO
472,Mountain Gazette Magazine,http://www.mountaingazette.com/,Newspaper/Magazine,12,"Boulder, CO",CO
495,OutBoulder,http://www.outboulder.org/blog,Online Only,12,"Boulder, CO",CO
510,KVCU AM 1190,http://www.radio1190.org/,Radio Station,12,"Boulder, CO",CO
522,K24HQ-D TV 6,http://www.rmpbs.org/home/,TV Station,12,"Boulder, CO",CO
572,Rooster Magazine,http://www.therooster.com/,Online Only,12,"Boulder, CO",CO
8,Bozeman Magazine,http://bozemanmagazine.com/,Newspaper/Magazine,13,"Bozeman, MT",MT
83,KGVM-LP 95.9,http://gallatincommunityradio.org/,Radio Station,13,"Bozeman, MT",MT
84,KJZS-LP 106.3 FM,http://gbcmt.org/services/Radio,Radio Station,13,"Bozeman, MT",MT
100,KBOZ-FM 99.9,http://kboz.com/,Radio Station,13,"Bozeman, MT",MT
108,KMMS-AM 1450,http://kmmsam.com/,Radio Station,13,"Bozeman, MT",MT
